SPO Optimizer (authors: @andrefeijosantos, @PedroFiorio)
Approach: Parallel Iterative Solver
Thread count: CPLEX using up to 8 threads
Variable types: 1 continuous; 1404 integer (1404 binaries)

  Thread  |  h  |  H  |  LB  |  UB  |  Num. Items  |  Incumbent  |  Status  
       DE | 375 |   1 |  330 | 2045 |         2045 |    5,453333 |   Optimal
       AC |   1 | 374 |  330 | 2045 |            - |           - |Infeasible
       DE | 374 |   2 | 2040 | 2045 |         2045 |    5,467914 |   Optimal
       DE | 373 |   2 | 2040 | 2045 |         2045 |    5,482574 |   Optimal
       AC |   2 | 372 |  330 | 2045 |            - |           - |Infeasible
       DE | 372 |   3 | 2040 | 2045 |         2045 |    5,497312 |   Optimal
       DE | 371 |   3 | 2040 | 2045 |         2045 |    5,512129 |   Optimal
       AC |   3 | 370 |  330 | 2045 |            - |           - |Infeasible
       DE | 370 |   4 | 2040 | 2045 |         2045 |    5,527027 |   Optimal
       DE | 369 |   4 | 2040 | 2045 |         2045 |    5,542005 |   Optimal
       DE | 368 |   4 | 2040 | 2045 |         2045 |    5,557065 |   Optimal
       AC |   4 | 367 |  330 | 2045 |            - |           - |Infeasible
       DE | 367 |   5 | 2040 | 2045 |         2045 |    5,572207 |   Optimal
       DE | 366 |   5 | 2040 | 2045 |         2045 |    5,587432 |   Optimal
       DE | 365 |   5 | 2040 | 2045 |         2045 |    5,602740 |   Optimal
       AC |   5 | 364 |  330 | 2045 |            - |           - |Infeasible
       DE | 364 |   6 | 2040 | 2045 |         2045 |    5,618132 |   Optimal
       DE | 363 |   6 | 2040 | 2045 |         2045 |    5,633609 |   Optimal
       DE | 362 |   6 | 2040 | 2045 |         2045 |    5,649171 |   Optimal
       AC |   6 | 361 |  330 | 2045 |            - |           - |Infeasible
       DE | 361 |   7 | 2040 | 2045 |         2045 |    5,664820 |   Optimal
       DE | 360 |   7 | 2040 | 2045 |         2045 |    5,680556 |   Optimal
       AC |   7 | 359 |  330 | 2045 |            - |           - |Infeasible
       DE | 359 |   8 | 2040 | 2045 |         2045 |    5,696379 |   Optimal
       DE | 358 |   8 | 2040 | 2045 |         2045 |    5,712291 |   Optimal
       DE | 357 |   8 | 2040 | 2045 |         2045 |    5,728291 |   Optimal
       AC |   8 | 356 |  330 | 2045 |            - |           - |Infeasible
       DE | 356 |   9 | 2040 | 2045 |         2045 |    5,744382 |   Optimal
       DE | 355 |   9 | 2040 | 2045 |         2045 |    5,760563 |   Optimal
       DE | 354 |   9 | 2040 | 2045 |         2045 |    5,776836 |   Optimal
       DE | 353 |   9 | 2040 | 2045 |         2045 |    5,793201 |   Optimal
       AC |   9 | 352 |  330 | 2045 |            - |           - |Infeasible
       DE | 352 |  10 | 2040 | 2045 |         2045 |    5,809659 |   Optimal
       DE | 351 |  10 | 2040 | 2045 |         2045 |    5,826211 |   Optimal
       DE | 350 |  10 | 2040 | 2045 |         2045 |    5,842857 |   Optimal
       DE | 349 |  10 | 2040 | 2045 |         2045 |    5,859599 |   Optimal
       AC |  10 | 348 |  330 | 2045 |            - |           - |Infeasible
       DE | 348 |  11 | 2040 | 2045 |         2045 |    5,876437 |   Optimal
       DE | 347 |  11 | 2040 | 2045 |         2045 |    5,893372 |   Optimal
       DE | 346 |  11 | 2040 | 2045 |         2045 |    5,910405 |   Optimal
       AC |  11 | 345 |  330 | 2045 |            - |           - |Infeasible
       DE | 345 |  12 | 2040 | 2045 |         2045 |    5,927536 |   Optimal
       DE | 344 |  12 | 2040 | 2045 |         2045 |    5,944767 |   Optimal
       DE | 343 |  12 | 2040 | 2045 |         2045 |    5,962099 |   Optimal
       DE | 342 |  12 | 2040 | 2045 |         2045 |    5,979532 |   Optimal
       AC |  12 | 341 |  330 | 2045 |            - |           - |Infeasible
       DE | 341 |  13 | 2040 | 2045 |         2045 |    5,997067 |   Optimal
       DE | 340 |  13 | 2040 | 2045 |         2045 |    6,014706 |   Optimal
       DE | 339 |  13 | 2039 | 2045 |         2045 |    6,032448 |   Optimal
       DE | 338 |  13 | 2039 | 2045 |         2045 |    6,050296 |   Optimal
       AC |  13 | 337 |  330 | 2045 |            - |           - |Infeasible
       DE | 337 |  14 | 2039 | 2045 |         2045 |    6,068249 |   Optimal
       DE | 336 |  14 | 2039 | 2045 |         2045 |    6,086310 |   Optimal
       DE | 335 |  14 | 2039 | 2045 |         2045 |    6,104478 |   Optimal
       DE | 334 |  14 | 2039 | 2045 |         2045 |    6,122754 |   Optimal
       AC |  14 | 333 |  330 | 2045 |            - |           - |Infeasible
       DE | 333 |  15 | 2039 | 2045 |         2045 |    6,141141 |   Optimal
       DE | 332 |  15 | 2039 | 2045 |         2045 |    6,159639 |   Optimal
       DE | 331 |  15 | 2039 | 2045 |         2045 |    6,178248 |   Optimal
       DE | 330 |  15 | 2039 | 2045 |         2045 |    6,196970 |   Optimal
       DE | 329 |  15 | 2039 | 2045 |         2045 |    6,215805 |   Optimal
       AC |  15 | 328 |  330 | 2045 |            - |           - |Infeasible
       DE | 328 |  16 | 2039 | 2045 |         2045 |    6,234756 |   Optimal
       DE | 327 |  16 | 2039 | 2045 |         2045 |    6,253823 |   Optimal
       DE | 326 |  16 | 2039 | 2045 |         2045 |    6,273006 |   Optimal
       DE | 325 |  16 | 2039 | 2045 |         2045 |    6,292308 |   Optimal
       DE | 324 |  16 | 2039 | 2045 |         2045 |    6,311728 |   Optimal
       DE | 323 |  16 | 2039 | 2045 |         2045 |    6,331269 |   Optimal
       DE | 322 |  16 | 2039 | 2045 |         2045 |    6,350932 |   Optimal
       AC |  16 | 321 |  330 | 2045 |            - |           - |Infeasible
       DE | 321 |  17 | 2039 | 2045 |         2045 |    6,370717 |   Optimal
       DE | 320 |  17 | 2039 | 2045 |         2045 |    6,390625 |   Optimal
       DE | 319 |  17 | 2039 | 2045 |         2045 |    6,410658 |   Optimal
       DE | 318 |  17 | 2039 | 2045 |         2045 |    6,430818 |   Optimal
       DE | 317 |  17 | 2039 | 2045 |         2045 |    6,451104 |   Optimal
       DE | 316 |  17 | 2039 | 2045 |         2045 |    6,471519 |   Optimal
       DE | 315 |  17 | 2039 | 2045 |         2045 |    6,492063 |   Optimal
       DE | 314 |  17 | 2039 | 2045 |         2045 |    6,512739 |   Optimal
       DE | 313 |  17 | 2039 | 2045 |         2045 |    6,533546 |   Optimal
       DE | 312 |  17 | 2039 | 2045 |         2045 |    6,554487 |   Optimal
       DE | 311 |  17 | 2039 | 2045 |         2045 |    6,575563 |   Optimal
       DE | 310 |  17 | 2039 | 2045 |         2045 |    6,596774 |   Optimal
