instance,solution,time,gap,hasc,hdesc
0001,15.0,0.0,0.0,-,-
0002,2.0,0.0,0.0,-,-
0003,12.0,0.0,0.0,-,-
0004,3.5,0.0,0.0,-,-
0005,177.875,420.0,0.0,-,-
0006,691.0,2.0,0.0,-,-
0007,392.25,6.0,0.0,-,-
0008,162.941176,572.0,0.0,-,-
0009,4.416667,0.0,0.0,-,-
0010,16.970588,599.0,0.0,21,102
0011,16.85,598.0,0.0,23,60
0012,11.25,0.0,0.0,-,-
0013,117.384615,44.0,0.0,-,-
0014,181.636364,76.0,0.0,-,-
0015,149.333333,20.0,0.0,-,-
0016,85.0,0.0,0.0,-,-
0017,36.5,0.0,0.0,-,-
0018,117.2,0.0,0.0,-,-
0019,202.0,0.0,0.0,-,-
0020,5.0,0.0,0.0,-,-
