SPO Optimizer (authors: @andrefeijosantos, @PedroFiorio)
Approach: Parallel Iterative Solver
Thread count: CPLEX using up to 8 threads
Variable types: 1 continuous; 2327 integer (2327 binaries)

  Thread  |  h  |  H  |  LB  |  UB  |  Num. Items  |  Incumbent  |  Status  
       DE | 165 |   1 |  626 | 3405 |         3405 |   20,636364 |   Optimal
       DE | 164 |   1 | 3385 | 3405 |         3405 |   20,762195 |   Optimal
       AC |   1 | 163 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 163 |   2 | 3385 | 3405 |         3405 |   20,889571 |   Optimal
       DE | 162 |   2 | 3385 | 3405 |         3405 |   21,018519 |   Optimal
       AC |   2 | 161 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 161 |   3 | 3384 | 3405 |         3405 |   21,149068 |   Optimal
       DE | 160 |   3 | 3384 | 3405 |         3405 |   21,281250 |   Optimal
       DE | 159 |   3 | 3384 | 3405 |         3405 |   21,415094 |   Optimal
       DE | 158 |   3 | 3384 | 3405 |         3405 |   21,550633 |   Optimal
       AC |   3 | 157 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 157 |   4 | 3384 | 3405 |         3405 |   21,687898 |   Optimal
       DE | 156 |   4 | 3384 | 3405 |         3405 |   21,826923 |   Optimal
       DE | 155 |   4 | 3384 | 3405 |         3405 |   21,967742 |   Optimal
       DE | 154 |   4 | 3384 | 3405 |         3405 |   22,110390 |   Optimal
       DE | 153 |   4 | 3383 | 3405 |         3405 |   22,254902 |   Optimal
       DE | 152 |   4 | 3383 | 3405 |         3405 |   22,401316 |   Optimal
       DE | 151 |   4 | 3383 | 3405 |         3405 |   22,549669 |   Optimal
       DE | 150 |   4 | 3383 | 3405 |         3405 |   22,700000 |   Optimal
       DE | 149 |   4 | 3383 | 3405 |         3405 |   22,852349 |   Optimal
       DE | 148 |   4 | 3383 | 3405 |         3405 |   23,006757 |   Optimal
       DE | 147 |   4 | 3382 | 3405 |         3405 |   23,163265 |   Optimal
       DE | 146 |   4 | 3382 | 3405 |         3405 |   23,321918 |   Optimal
       DE | 145 |   4 | 3382 | 3405 |         3405 |   23,482759 |   Optimal
       DE | 144 |   4 | 3382 | 3405 |         3405 |   23,645833 |   Optimal
       DE | 143 |   4 | 3382 | 3405 |         3405 |   23,811189 |   Optimal
       DE | 142 |   4 | 3382 | 3405 |         3405 |   23,978873 |   Optimal
       DE | 141 |   4 | 3382 | 3405 |         3405 |   24,148936 |   Optimal
       DE | 140 |   4 | 3381 | 3405 |         3405 |   24,321429 |   Optimal
       DE | 139 |   4 | 3381 | 3405 |         3405 |   24,496403 |   Optimal
       DE | 138 |   4 | 3381 | 3405 |         3405 |   24,673913 |   Optimal
       DE | 137 |   4 | 3381 | 3405 |         3405 |   24,854015 |   Optimal
       DE | 136 |   4 | 3381 | 3405 |         3405 |   25,036765 |   Optimal
       DE | 135 |   4 | 3380 | 3405 |         3405 |   25,222222 |   Optimal
       DE | 134 |   4 | 3380 | 3405 |         3405 |   25,410448 |   Optimal
       DE | 133 |   4 | 3380 | 3405 |         3405 |   25,601504 |   Optimal
       DE | 132 |   4 | 3380 | 3405 |         3405 |   25,795455 |   Optimal
       DE | 131 |   4 | 3380 | 3405 |         3405 |   25,992366 |   Optimal
       DE | 130 |   4 | 3380 | 3405 |         3405 |   26,192308 |   Optimal
       DE | 129 |   4 | 3379 | 3405 |         3405 |   26,395349 |   Optimal
       DE | 128 |   4 | 3379 | 3405 |         3405 |   26,601563 |   Optimal
       DE | 127 |   4 | 3379 | 3405 |         3405 |   26,811024 |   Optimal
       DE | 126 |   4 | 3379 | 3405 |         3405 |   27,023810 |   Optimal
       DE | 125 |   4 | 3378 | 3405 |         3405 |   27,240000 |   Optimal
       DE | 124 |   4 | 3378 | 3405 |         3405 |   27,459677 |   Optimal
       DE | 123 |   4 | 3378 | 3405 |         3405 |   27,682927 |   Optimal
       DE | 122 |   4 | 3378 | 3405 |         3405 |   27,909836 |   Optimal
       DE | 121 |   4 | 3378 | 3405 |         3405 |   28,140496 |   Optimal
       AC |   4 | 120 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 120 |   5 | 3377 | 3405 |         3405 |   28,375000 |   Optimal
       DE | 119 |   5 | 3377 | 3405 |         3405 |   28,613445 |   Optimal
       DE | 118 |   5 | 3377 | 3405 |         3405 |   28,855932 |   Optimal
       DE | 117 |   5 | 3377 | 3405 |         3405 |   29,102564 |   Optimal
       DE | 116 |   5 | 3376 | 3405 |         3405 |   29,353448 |   Optimal
       DE | 115 |   5 | 3376 | 3405 |         3405 |   29,608696 |   Optimal
       DE | 114 |   5 | 3376 | 3405 |         3405 |   29,868421 |   Optimal
       DE | 113 |   5 | 3376 | 3405 |         3405 |   30,132743 |   Optimal
       DE | 112 |   5 | 3375 | 3405 |         3405 |   30,401786 |   Optimal
       DE | 111 |   5 | 3375 | 3405 |         3405 |   30,675676 |   Optimal
       DE | 110 |   5 | 3375 | 3405 |         3405 |   30,954545 |   Optimal
       DE | 109 |   5 | 3375 | 3405 |         3405 |   31,238532 |   Optimal
       DE | 108 |   5 | 3374 | 3405 |         3405 |   31,527778 |   Optimal
       DE | 107 |   5 | 3374 | 3405 |         3405 |   31,822430 |   Optimal
       DE | 106 |   5 | 3374 | 3405 |         3405 |   32,122642 |   Optimal
       DE | 105 |   5 | 3373 | 3405 |         3405 |   32,428571 |   Optimal
       DE | 104 |   5 | 3373 | 3405 |         3405 |   32,740385 |   Optimal
       DE | 103 |   5 | 3373 | 3405 |         3405 |   33,058252 |   Optimal
       DE | 102 |   5 | 3372 | 3405 |         3405 |   33,382353 |   Optimal
       DE | 101 |   5 | 3372 | 3405 |         3405 |   33,712871 |   Optimal
       DE | 100 |   5 | 3372 | 3405 |         3405 |   34,050000 |   Optimal
       DE |  99 |   5 | 3371 | 3405 |         3405 |   34,393939 |   Optimal
       DE |  98 |   5 | 3371 | 3405 |         3405 |   34,744898 |   Optimal
       DE |  97 |   5 | 3371 | 3405 |         3405 |   35,103093 |   Optimal
       DE |  96 |   5 | 3370 | 3405 |         3405 |   35,468750 |   Optimal
