SPO Optimizer (authors: @andrefeijosantos, @PedroFiorio)
Approach: Parallel Iterative Solver
Thread count: CPLEX using up to 8 threads
Variable types: 1 continuous; 8788 integer (8788 binaries)

  Thread  |  h  |  H  |  LB  |  UB  |  Num. Items  |  Incumbent  |  Status  
       DE | 413 |   1 | 1510 | 4583 |         4583 |   11,096852 |   Optimal
       DE | 412 |   1 | 4572 | 4583 |         4583 |   11,123786 |   Optimal
       AC |   1 | 411 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 411 |   2 | 4572 | 4583 |         4583 |   11,150852 |   Optimal
       DE | 410 |   2 | 4572 | 4583 |         4583 |   11,178049 |   Optimal
       DE | 409 |   2 | 4572 | 4583 |         4583 |   11,205379 |   Optimal
       DE | 408 |   2 | 4572 | 4583 |         4583 |   11,232843 |   Optimal
       AC |   2 | 407 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 407 |   3 | 4572 | 4583 |         4583 |   11,260442 |   Optimal
       DE | 406 |   3 | 4572 | 4583 |         4583 |   11,288177 |   Optimal
       DE | 405 |   3 | 4572 | 4583 |         4583 |   11,316049 |   Optimal
       DE | 404 |   3 | 4572 | 4583 |         4583 |   11,344059 |   Optimal
       DE | 403 |   3 | 4572 | 4583 |         4583 |   11,372208 |   Optimal
       AC |   3 | 402 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 402 |   4 | 4572 | 4583 |         4583 |   11,400498 |   Optimal
       DE | 401 |   4 | 4572 | 4583 |         4583 |   11,428928 |   Optimal
       DE | 400 |   4 | 4572 | 4583 |         4583 |   11,457500 |   Optimal
       DE | 399 |   4 | 4572 | 4583 |         4583 |   11,486216 |   Optimal
       AC |   4 | 398 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 398 |   5 | 4572 | 4583 |         4583 |   11,515075 |   Optimal
       DE | 397 |   5 | 4572 | 4583 |         4583 |   11,544081 |   Optimal
       DE | 396 |   5 | 4572 | 4583 |         4583 |   11,573232 |   Optimal
       DE | 395 |   5 | 4572 | 4583 |         4583 |   11,602532 |   Optimal
       DE | 394 |   5 | 4572 | 4583 |         4583 |   11,631980 |   Optimal
       DE | 393 |   5 | 4572 | 4583 |         4583 |   11,661578 |   Optimal
       AC |   5 | 392 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 392 |   6 | 4572 | 4583 |         4583 |   11,691327 |   Optimal
       DE | 391 |   6 | 4572 | 4583 |         4583 |   11,721228 |   Optimal
       DE | 390 |   6 | 4572 | 4583 |         4583 |   11,751282 |   Optimal
       DE | 389 |   6 | 4572 | 4583 |         4583 |   11,781491 |   Optimal
       DE | 388 |   6 | 4572 | 4583 |         4583 |   11,811856 |   Optimal
       DE | 387 |   6 | 4572 | 4583 |         4583 |   11,842377 |   Optimal
       DE | 386 |   6 | 4572 | 4583 |         4583 |   11,873057 |   Optimal
       DE | 385 |   6 | 4572 | 4583 |         4583 |   11,903896 |   Optimal
       AC |   6 | 384 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 384 |   7 | 4572 | 4583 |         4583 |   11,934896 |   Optimal
       DE | 383 |   7 | 4572 | 4583 |         4583 |   11,966057 |   Optimal
       DE | 382 |   7 | 4572 | 4583 |         4583 |   11,997382 |   Optimal
       DE | 381 |   7 | 4572 | 4583 |         4583 |   12,028871 |   Optimal
       DE | 380 |   7 | 4571 | 4583 |         4583 |   12,060526 |   Optimal
       DE | 379 |   7 | 4571 | 4583 |         4583 |   12,092348 |   Optimal
       AC |   7 | 378 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 378 |   8 | 4571 | 4583 |         4583 |   12,124339 |   Optimal
       DE | 377 |   8 | 4571 | 4583 |         4583 |   12,156499 |   Optimal
       DE | 376 |   8 | 4571 | 4583 |         4583 |   12,188830 |   Optimal
       DE | 375 |   8 | 4571 | 4583 |         4583 |   12,221333 |   Optimal
       DE | 374 |   8 | 4571 | 4583 |         4583 |   12,254011 |   Optimal
       DE | 373 |   8 | 4571 | 4583 |         4583 |   12,286863 |   Optimal
       AC |   8 | 372 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 372 |   9 | 4571 | 4583 |         4583 |   12,319892 |   Optimal
       DE | 371 |   9 | 4571 | 4583 |         4583 |   12,353100 |   Optimal
       DE | 370 |   9 | 4571 | 4583 |         4583 |   12,386486 |   Optimal
       DE | 369 |   9 | 4571 | 4583 |         4583 |   12,420054 |   Optimal
       DE | 368 |   9 | 4571 | 4583 |         4583 |   12,453804 |   Optimal
       DE | 367 |   9 | 4571 | 4583 |         4583 |   12,487738 |   Optimal
       DE | 366 |   9 | 4571 | 4583 |         4583 |   12,521858 |   Optimal
       DE | 365 |   9 | 4571 | 4583 |         4583 |   12,556164 |   Optimal
       DE | 364 |   9 | 4571 | 4583 |         4583 |   12,590659 |   Optimal
       AC |   9 | 363 | 1510 | 4583 |            - |    3,000000 |Infeasible
       DE | 363 |  10 | 4571 | 4583 |         4583 |   12,625344 |   Optimal
       DE | 362 |  10 | 4571 | 4583 |         4583 |   12,660221 |   Optimal
       DE | 361 |  10 | 4571 | 4583 |         4583 |   12,695291 |   Optimal
       DE | 360 |  10 | 4571 | 4583 |         4583 |   12,730556 |   Optimal
       DE | 359 |  10 | 4571 | 4583 |         4583 |   12,766017 |   Optimal
