1.6500000000000001
SPO Optimizer (authors: @andrefeijosantos, @PedroFiorio)
Approach: Parallel Iterative Solver
Thread count: CPLEX using up to 20 threads
Variable types: 1 continuous; 2327 integer (2327 binaries)

  Thread  |  h  |  H  |  LB  |  UB  |  Num. Items  |  Incumbent  |  Status  
       DE | 165 |   1 |  626 | 3405 |         3405 |   20,636364 |   Optimal
       AC |   1 | 163 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 163 |   2 | 3364 | 3405 |         3405 |   20,889571 |   Optimal
       DE | 161 |   2 | 3364 | 3405 |         3405 |   21,149068 |   Optimal
       AC |   2 | 159 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 159 |   3 | 3363 | 3405 |         3405 |   21,415094 |   Optimal
       DE | 157 |   3 | 3363 | 3405 |         3405 |   21,687898 |   Optimal
       DE | 155 |   3 | 3362 | 3405 |         3405 |   21,967742 |   Optimal
       DE | 153 |   3 | 3362 | 3405 |         3405 |   22,254902 |   Optimal
       AC |   3 | 151 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 151 |   4 | 3361 | 3405 |         3405 |   22,549669 |   Optimal
       DE | 149 |   4 | 3360 | 3405 |         3405 |   22,852349 |   Optimal
       DE | 147 |   4 | 3360 | 3405 |         3405 |   23,163265 |   Optimal
       DE | 145 |   4 | 3359 | 3405 |         3405 |   23,482759 |   Optimal
       DE | 143 |   4 | 3359 | 3405 |         3405 |   23,811189 |   Optimal
       DE | 141 |   4 | 3358 | 3405 |         3405 |   24,148936 |   Optimal
       DE | 139 |   4 | 3357 | 3405 |         3405 |   24,496403 |   Optimal
       DE | 137 |   4 | 3357 | 3405 |         3405 |   24,854015 |   Optimal
       DE | 135 |   4 | 3356 | 3405 |         3405 |   25,222222 |   Optimal
       DE | 133 |   4 | 3355 | 3405 |         3405 |   25,601504 |   Optimal
       DE | 131 |   4 | 3354 | 3405 |         3405 |   25,992366 |   Optimal
       DE | 129 |   4 | 3354 | 3405 |         3405 |   26,395349 |   Optimal
       DE | 127 |   4 | 3353 | 3405 |         3405 |   26,811024 |   Optimal
       DE | 125 |   4 | 3352 | 3405 |         3405 |   27,240000 |   Optimal
       DE | 123 |   4 | 3351 | 3405 |         3405 |   27,682927 |   Optimal
       DE | 121 |   4 | 3350 | 3405 |         3405 |   28,140496 |   Optimal
       DE | 119 |   4 | 3349 | 3405 |         3405 |   28,613445 |   Optimal
       AC |   4 | 117 |  626 | 3405 |            - |    3,000000 |Infeasible
       DE | 117 |   5 | 3348 | 3405 |         3405 |   29,102564 |   Optimal
       DE | 115 |   5 | 3347 | 3405 |         3405 |   29,608696 |   Optimal
       DE | 113 |   5 | 3346 | 3405 |         3405 |   30,132743 |   Optimal
       DE | 111 |   5 | 3345 | 3405 |         3405 |   30,675676 |   Optimal
       DE | 109 |   5 | 3344 | 3405 |         3405 |   31,238532 |   Optimal
       DE | 107 |   5 | 3343 | 3405 |         3405 |   31,822430 |   Optimal
       DE | 105 |   5 | 3342 | 3405 |         3405 |   32,428571 |   Optimal
       DE | 103 |   5 | 3341 | 3405 |         3405 |   33,058252 |   Optimal
       DE | 101 |   5 | 3339 | 3405 |         3405 |   33,712871 |   Optimal
       DE |  99 |   5 | 3338 | 3405 |         3405 |   34,393939 |   Optimal
       DE |  97 |   5 | 3337 | 3405 |         3405 |   35,103093 |   Optimal
       DE |  95 |   5 | 3335 | 3405 |         3405 |   35,842105 |   Optimal
       DE |  93 |   5 | 3334 | 3405 |         3405 |   36,612903 |   Optimal
       DE |  91 |   5 | 3332 | 3405 |         3405 |   37,417582 |   Optimal
       DE |  89 |   5 | 3331 | 3405 |         3405 |   38,258427 |   Optimal
       DE |  87 |   5 | 3329 | 3405 |         3405 |   39,137931 |   Optimal
       DE |  85 |   5 | 3327 | 3405 |         3405 |   40,058824 |   Optimal
       DE |  83 |   5 | 3325 | 3405 |         3405 |   41,024096 |   Optimal
       DE |  81 |   5 | 3323 | 3405 |         3405 |   42,037037 |   Optimal
       DE |  79 |   5 | 3321 | 3405 |         3405 |   43,101266 |   Optimal
       DE |  77 |   5 | 3319 | 3405 |         3405 |   44,220779 |   Optimal
       DE |  75 |   5 | 3317 | 3405 |         3405 |   45,400000 |   Optimal
       DE |  73 |   5 | 3315 | 3405 |         3405 |   46,643836 |   Optimal
       DE |  71 |   5 | 3312 | 3405 |         3405 |   47,957746 |   Optimal
       DE |  69 |   5 | 3310 | 3405 |         3405 |   49,347826 |   Optimal
       DE |  67 |   5 | 3307 | 3405 |         3405 |   50,820896 |   Optimal
       DE |  65 |   5 | 3304 | 3405 |         3405 |   52,384615 |   Optimal
       AC |   5 |  22 |  626 | 3405 |          753 |  150,600000 |   Optimal
       DE |  63 |   6 | 3301 | 3405 |            - |   52,384615 |   Unknown
       AC |   6 |  21 |  904 | 3405 |          934 |  155,666667 |   Optimal
       DE |  22 |   7 | 3314 | 3405 |            - |  154,772727 |  Feasible
       AC |   7 |  21 | 1090 | 3405 |            - |  155,666667 |Infeasible
       AC |   8 |  21 | 1246 | 3405 |         1296 |  162,000000 |   Optimal
       AC |   9 |  19 | 1459 | 3405 |         1566 |  174,000000 |   Optimal
       DE |  21 |  10 | 3270 | 3405 |            - |  157,238095 |  Feasible
       AC |  10 |  19 | 1741 | 3405 |         1780 |  178,000000 |   Optimal
       AC |  11 |  18 | 1959 | 3405 |         1987 |  180,636364 |   Optimal
       DE |  19 |  12 | 3307 | 3405 |            - |  157,238095 |   Unknown
       DE |  18 |  12 | 3252 | 3405 |            - |  157,238095 |Infeasible
       DE |  17 |  12 | 3071 | 3251 |            - |  157,238095 |Infeasible
       AC |  12 |  16 | 2168 | 3405 |            - |  180,636364 |Infeasible
       DE |  16 |  13 | 2891 | 3070 |            - |  157,238095 |Infeasible
       AC |  13 |  15 | 2349 | 3070 |            - |  180,636364 |Infeasible
       DE |  15 |  14 | 2710 | 2890 |            - |  157,238095 |Infeasible
       AC |  14 |  14 | 2529 | 2890 |            - |  180,636364 |Infeasible
       DE |  14 |  15 | 2529 | 2709 |            - |  157,238095 |   Unknown

Ascending Thread finished at: 15
Decending Thread finished at: 14
Solution found: 180.63636363636363
Proved optimal? true

Is Feasible: true
