SPO Optimizer (authors: @andrefeijosantos, @PedroFiorio)
Approach: Parallel Iterative Solver
Thread count: CPLEX using up to 8 threads
Variable types: 1 continuous; 2611 integer (2611 binaries)

  Thread  |  h  |  H  |  LB  |  UB  |  Num. Items  |  Incumbent  |  Status  
       DE | 163 |   1 |  701 | 2802 |         2802 |   17,190184 |   Optimal
       DE | 162 |   1 | 2785 | 2802 |         2802 |   17,296296 |   Optimal
       AC |   1 | 161 |  701 | 2802 |            - |    4,000000 |Infeasible
       DE | 161 |   2 | 2785 | 2802 |         2802 |   17,403727 |   Optimal
       DE | 160 |   2 | 2785 | 2802 |         2802 |   17,512500 |   Optimal
       AC |   2 | 159 |  701 | 2802 |            - |    4,000000 |Infeasible
       DE | 159 |   3 | 2785 | 2802 |         2802 |   17,622642 |   Optimal
       DE | 158 |   3 | 2785 | 2802 |         2802 |   17,734177 |   Optimal
       DE | 157 |   3 | 2785 | 2802 |         2802 |   17,847134 |   Optimal
       DE | 156 |   3 | 2785 | 2802 |         2802 |   17,961538 |   Optimal
       AC |   3 | 155 |  701 | 2802 |            - |    4,000000 |Infeasible
       DE | 155 |   4 | 2785 | 2802 |         2802 |   18,077419 |   Optimal
       DE | 154 |   4 | 2784 | 2802 |         2802 |   18,194805 |   Optimal
       DE | 153 |   4 | 2784 | 2802 |         2802 |   18,313725 |   Optimal
       DE | 152 |   4 | 2784 | 2802 |         2802 |   18,434211 |   Optimal
       DE | 151 |   4 | 2784 | 2802 |         2802 |   18,556291 |   Optimal
       DE | 150 |   4 | 2784 | 2802 |         2802 |   18,680000 |   Optimal
       DE | 149 |   4 | 2784 | 2802 |         2802 |   18,805369 |   Optimal
       DE | 148 |   4 | 2784 | 2802 |         2802 |   18,932432 |   Optimal
       DE | 147 |   4 | 2784 | 2802 |         2802 |   19,061224 |   Optimal
       DE | 146 |   4 | 2783 | 2802 |         2802 |   19,191781 |   Optimal
       DE | 145 |   4 | 2783 | 2802 |         2802 |   19,324138 |   Optimal
       DE | 144 |   4 | 2783 | 2802 |         2802 |   19,458333 |   Optimal
       DE | 143 |   4 | 2783 | 2802 |         2802 |   19,594406 |   Optimal
       DE | 142 |   4 | 2783 | 2802 |         2802 |   19,732394 |   Optimal
       DE | 141 |   4 | 2783 | 2802 |         2802 |   19,872340 |   Optimal
       DE | 140 |   4 | 2783 | 2802 |         2802 |   20,014286 |   Optimal
       DE | 139 |   4 | 2782 | 2802 |         2802 |   20,158273 |   Optimal
       DE | 138 |   4 | 2782 | 2802 |         2802 |   20,304348 |   Optimal
       DE | 137 |   4 | 2782 | 2802 |         2802 |   20,452555 |   Optimal
       DE | 136 |   4 | 2782 | 2802 |         2802 |   20,602941 |   Optimal
       DE | 135 |   4 | 2782 | 2802 |         2802 |   20,755556 |   Optimal
       DE | 134 |   4 | 2782 | 2802 |         2802 |   20,910448 |   Optimal
       DE | 133 |   4 | 2782 | 2802 |         2802 |   21,067669 |   Optimal
       DE | 132 |   4 | 2781 | 2802 |         2802 |   21,227273 |   Optimal
       DE | 131 |   4 | 2781 | 2802 |         2802 |   21,389313 |   Optimal
       DE | 130 |   4 | 2781 | 2802 |         2802 |   21,553846 |   Optimal
       DE | 129 |   4 | 2781 | 2802 |         2802 |   21,720930 |   Optimal
       DE | 128 |   4 | 2781 | 2802 |         2802 |   21,890625 |   Optimal
       DE | 127 |   4 | 2781 | 2802 |         2802 |   22,062992 |   Optimal
       DE | 126 |   4 | 2780 | 2802 |         2802 |   22,238095 |   Optimal
       DE | 125 |   4 | 2780 | 2802 |         2802 |   22,416000 |   Optimal
       DE | 124 |   4 | 2780 | 2802 |         2802 |   22,596774 |   Optimal
       DE | 123 |   4 | 2780 | 2802 |         2802 |   22,780488 |   Optimal
       DE | 122 |   4 | 2780 | 2802 |         2802 |   22,967213 |   Optimal
       DE | 121 |   4 | 2780 | 2802 |         2802 |   23,157025 |   Optimal
       DE | 120 |   4 | 2779 | 2802 |         2802 |   23,350000 |   Optimal
       DE | 119 |   4 | 2779 | 2802 |         2802 |   23,546218 |   Optimal
       DE | 118 |   4 | 2779 | 2802 |         2802 |   23,745763 |   Optimal
       AC |   4 | 117 |  701 | 2802 |            - |    4,000000 |Infeasible
       DE | 117 |   5 | 2779 | 2802 |         2802 |   23,948718 |   Optimal
       DE | 116 |   5 | 2779 | 2802 |         2802 |   24,155172 |   Optimal
       DE | 115 |   5 | 2778 | 2802 |         2802 |   24,365217 |   Optimal
       DE | 114 |   5 | 2778 | 2802 |         2802 |   24,578947 |   Optimal
       DE | 113 |   5 | 2778 | 2802 |         2802 |   24,796460 |   Optimal
       DE | 112 |   5 | 2778 | 2802 |         2802 |   25,017857 |   Optimal
       DE | 111 |   5 | 2777 | 2802 |         2802 |   25,243243 |   Optimal
       DE | 110 |   5 | 2777 | 2802 |         2802 |   25,472727 |   Optimal
       DE | 109 |   5 | 2777 | 2802 |         2802 |   25,706422 |   Optimal
       DE | 108 |   5 | 2777 | 2802 |         2802 |   25,944444 |   Optimal
       DE | 107 |   5 | 2777 | 2802 |         2802 |   26,186916 |   Optimal
       DE | 106 |   5 | 2776 | 2802 |         2802 |   26,433962 |   Optimal
       DE | 105 |   5 | 2776 | 2802 |         2802 |   26,685714 |   Optimal
       DE | 104 |   5 | 2776 | 2802 |         2802 |   26,942308 |   Optimal
       DE | 103 |   5 | 2776 | 2802 |         2802 |   27,203883 |   Optimal
       DE | 102 |   5 | 2775 | 2802 |         2802 |   27,470588 |   Optimal
       DE | 101 |   5 | 2775 | 2802 |         2802 |   27,742574 |   Optimal
       DE | 100 |   5 | 2775 | 2802 |         2802 |   28,020000 |   Optimal
       DE |  99 |   5 | 2774 | 2802 |         2802 |   28,303030 |   Optimal
       DE |  98 |   5 | 2774 | 2802 |         2802 |   28,591837 |   Optimal
       DE |  97 |   5 | 2774 | 2802 |         2802 |   28,886598 |   Optimal
       DE |  96 |   5 | 2774 | 2802 |         2802 |   29,187500 |   Optimal
       DE |  95 |   5 | 2773 | 2802 |         2802 |   29,494737 |   Optimal
       DE |  94 |   5 | 2773 | 2802 |         2802 |   29,808511 |   Optimal
       DE |  93 |   5 | 2773 | 2802 |         2802 |   30,129032 |   Optimal
       DE |  92 |   5 | 2772 | 2802 |         2802 |   30,456522 |   Optimal
       DE |  91 |   5 | 2772 | 2802 |         2802 |   30,791209 |   Optimal
       DE |  90 |   5 | 2772 | 2802 |         2802 |   31,133333 |   Optimal
       DE |  89 |   5 | 2771 | 2802 |         2802 |   31,483146 |   Optimal
       DE |  88 |   5 | 2771 | 2802 |         2802 |   31,840909 |   Optimal
       DE |  87 |   5 | 2771 | 2802 |         2802 |   32,206897 |   Optimal
       DE |  86 |   5 | 2770 | 2802 |         2802 |   32,581395 |   Optimal
       DE |  85 |   5 | 2770 | 2802 |         2802 |   32,964706 |   Optimal
       DE |  84 |   5 | 2770 | 2802 |         2802 |   33,357143 |   Optimal
       DE |  83 |   5 | 2769 | 2802 |         2802 |   33,759036 |   Optimal
       DE |  82 |   5 | 2769 | 2802 |         2802 |   34,170732 |   Optimal
       DE |  81 |   5 | 2768 | 2802 |         2802 |   34,592593 |   Optimal
       DE |  80 |   5 | 2768 | 2802 |         2802 |   35,025000 |   Optimal
       DE |  79 |   5 | 2767 | 2802 |         2802 |   35,468354 |   Optimal
       DE |  78 |   5 | 2767 | 2802 |         2802 |   35,923077 |   Optimal
       DE |  77 |   5 | 2767 | 2802 |         2802 |   36,389610 |   Optimal
       DE |  76 |   5 | 2766 | 2802 |         2802 |   36,868421 |   Optimal
       DE |  75 |   5 | 2766 | 2802 |         2802 |   37,360000 |   Optimal
       DE |  74 |   5 | 2765 | 2802 |         2802 |   37,864865 |   Optimal
       DE |  73 |   5 | 2765 | 2802 |         2802 |   38,383562 |   Optimal
       AC |   5 |  18 |  701 | 2802 |          752 |  150,400000 |   Optimal
       DE |  72 |   6 | 2764 | 2802 |            - |   38,916667 |  Feasible
       AC |   6 |  18 |  903 | 2802 |          907 |  151,166667 |   Optimal
       AC |   7 |  18 | 1059 | 2802 |         1067 |  152,428571 |   Optimal
       AC |   8 |  18 | 1220 | 2802 |            - |  152,428571 |Infeasible
       DE |  18 |   9 | 2708 | 2802 |         2802 |  155,666667 |   Optimal
       AC |   9 |  17 | 1372 | 2802 |            - |  152,428571 |Infeasible
       AC |  10 |  17 | 1557 | 2802 |            - |  152,428571 |Infeasible
       AC |  11 |  17 | 1713 | 2802 |            - |  152,428571 |Infeasible
       AC |  12 |  17 | 1869 | 2802 |            - |  152,428571 |Infeasible
Time Limit reached (AC).
       DE |  17 |  12 | 2647 | 2802 |            - |  155,666667 |   Unknown
Time Limit reached (DE).

Ascending Thread finished at: 12
Decending Thread finished at: 17
Solution found: 155.66666666666666
Proved optimal? false

Is Feasible: true
Objective Value: 155.66666666666666
Time: 00:09:57.218
Output written to test_out.txt
